8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'IOnLocalLinkSharedCoordinatesSavedCallback' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	58	Active
Error	CS0246	The type or namespace name 'ExternalResourceReference' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\ServerInterfaceExtensionsForRevitLinks.cs	65	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	28	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit.DB' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	29	Active
Error	BC40056	Namespace or type specified in the Imports 'Autodesk.Revit.UI' doesn't contain any public member or cannot be found. Make sure the namespace or the type is defined and contains at least one public member. Make sure the imported element name doesn't use any aliases.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	30	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Transaction' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	36	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	36	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Regeneration' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	37	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	37	Active
Error	BC30002	Type 'Autodesk.Revit.Attributes.Journaling' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	38	Active
Error	BC30451	'Autodesk' is not declared. It may be inaccessible due to its protection level.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	38	Active
Error	BC30002	Type 'IExternalCommand' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	40	Active
Error	BC30002	Type 'ExternalCommandData' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'Autodesk.Revit.DB.ElementSet' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'Autodesk.Revit.UI.Result' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	BC30002	Type 'IExternalCommand' is not defined.	RevitViewer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\Viewers\RevitViewer\VB.NET\Main.vb	58	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	27	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	28	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	29	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	56	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	68	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	119	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\FieldData.cs	139	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	27	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	28	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	29	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	60	Active
